priref,lref,sitter_id,sitter_zekerheid,sitter_beschrijving,sitter_status,date_datering,zoekmarge_begindatum,zoekmarge_einddatum,title_english,title_dutch,objectcat,genre,materiaal,drager,trefwoorden_en,identificatie_grond,artist_name,artist_id,soort,is_color,width,height,megapixels,path,face_crop_count,sitter_portrait_count
156058,10756651,109431,,,huidig,,1860,1875,Portrait of Gerrit Simons (1802-1868),Portret van Gerrit Simons (1802-1868),carte-de-visite,undetermined,,,full-length portrait|head to the left|body facing left|sitting|facing front|man's portrait,,"Severin, Robert",387909,original photograph,False,998,1743,1.74,D:\thesis\images\10756651.jpg,1,5
156059,10756438,127138,,,huidig,,1860,1920,Portrait of Pieter Nicolaas Schorer (1794-1869),Portret van Pieter Nicolaas Schorer (1794-1869),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the left|body facing left|facing front|old man|man's portrait,achterschrift,Anoniem,1984,original photograph,False,1033,1752,1.81,D:\thesis\images\10756438.jpg,1,3
156060,10756439,127138,,,huidig,,1860,1920,Portrait of Pieter Nicolaas Schorer (1794-1869),Portret van Pieter Nicolaas Schorer (1794-1869),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the left|body facing left|facing front|old man|man's portrait,achterschrift,Anoniem,1984,original photograph,False,1041,1748,1.82,D:\thesis\images\10756439.jpg,1,3
156063,10756652,127141,,,huidig,,1860,1920,Portrait of Anna Maria Singendonck (1853-1928),Portret van Anna Maria Singendonck (1853-1928),carte-de-visite,undetermined,,,three-quarter length figure|head to the left|body facing right|standing (position)|looking away|woman's portrait,,"Zimmermans, Adolphe",417368,original photograph,False,1042,1686,1.757,D:\thesis\images\10756652.jpg,1,5
156064,10756653,127141,,,huidig,1874-1878,1874,1878,Portrait of Anna Maria Singendonck (1853-1928),Portret van Anna Maria Singendonck (1853-1928),carte-de-visite,undetermined,,,three-quarter length figure|head to the left|body facing left|standing (position)|looking away|woman's portrait,,"Lavieter &amp; Co, De",392697,original photograph,False,978,1705,1.667,D:\thesis\images\10756653.jpg,1,5
156065,10756654,127141,,,huidig,1873 gedateerd,1873,1873,Portrait of Anna Maria Singendonck (1853-1928),Portret van Anna Maria Singendonck (1853-1928),carte-de-visite,undetermined,,,full-length portrait|head to the left|body facing left|standing (position)|looking away|woman's portrait,,"Grammann, Wilhelm J.",417390,original photograph,False,1016,1631,1.657,D:\thesis\images\10756654.jpg,1,5
156066,10756655,127141,,,huidig,,1860,1899,Portrait of Anna Maria Singendonck (1853-1928),Portret van Anna Maria Singendonck (1853-1928),carte-de-visite,undetermined,vignetting,,knee-length portrait|head to the left|body facing left|standing (position)|looking away|young woman|woman's portrait,,"Verveer, Maurits",80730,original photograph,False,1044,1722,1.798,D:\thesis\images\10756655.jpg,1,5
156070,10756659,127144,,,huidig,,1860,1920,Portrait of Henriette Catharine Singendonck (1840-1905),Portret van Henriette Catharine Singendonck (1840-1905),carte-de-visite,undetermined,,,full-length portrait|head to the right|body frontal|standing (position)|looking away|woman's portrait,,Anoniem,1984,original photograph,False,990,1614,1.598,D:\thesis\images\10756659.jpg,1,3
156071,10756660,127144,,,huidig,,1860,1874,Portrait of Henriette Catharine Singendonck (1840-1905),Portret van Henriette Catharine Singendonck (1840-1905),carte-de-visite,undetermined,,,full-length portrait|head to the left|body facing left|standing (position)|looking away|woman's portrait,,"Grammann, Wilhelm J.",417390,original photograph,False,1032,1636,1.688,D:\thesis\images\10756660.jpg,1,3
156072,10756661,127144,,,huidig,,1860,1899,Portrait of Henriette Catharine Singendonck (1840-1905),Portret van Henriette Catharine Singendonck (1840-1905),carte-de-visite,undetermined,vignetting,,three-quarter length figure|head to the left|body facing left|sitting|facing front|woman's portrait,,"Verveer, Maurits",80730,original photograph,False,1066,1663,1.773,D:\thesis\images\10756661.jpg,1,3
156073,10756662,127145,,,huidig,,1860,1899,Portrait of Johan Anne Singendonck (1809-1893),Portret van Johan Anne Singendonck (1809-1893),carte-de-visite,undetermined,vignetting,,knee-length portrait|head to the right|body facing right|sitting|facing front|man's portrait,,"Verveer, Maurits",80730,original photograph,False,1023,1613,1.65,D:\thesis\images\10756662.jpg,1,3
156075,10756663,127145,,,huidig,,1860,1920,Portrait of Johan Anne Singendonck (1809-1893),Portret van Johan Anne Singendonck (1809-1893),carte-de-visite,undetermined,,,full-length portrait|head to the right|body facing right|sitting|looking away|man's portrait,,Anoniem,1984,original photograph,False,976,1674,1.634,D:\thesis\images\10756663.jpg,1,3
156076,10756664,127146,,,huidig,,1860,1875,Portrait of Maria Johanna Singendonck (1835-1907),Portret van Maria Johanna Singendonck (1835-1907),carte-de-visite,undetermined,,,full-length portrait|head to the left|body facing left|standing (position)|facing front|woman's portrait,,"Severin, Robert",387909,original photograph,False,1046,1709,1.788,D:\thesis\images\10756664.jpg,1,3
156077,10756665,127146,,,huidig,,1860,1874,Portrait of Maria Johanna Singendonck (1835-1907),Portret van Maria Johanna Singendonck (1835-1907),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the right|body facing right|looking away|woman's portrait,,"Grammann, Wilhelm J.",417390,original photograph,False,1035,1693,1.752,D:\thesis\images\10756665.jpg,1,3
156078,10756666,127149,,,huidig,1900 gedateerd,1900,1900,Portrait of Hendrik Sipman (1880- ),Portret van Hendrik Sipman (1880- ),carte-de-visite,undetermined,vignetting,,man's portrait|bust-length portrait|head to the right|body facing left|looking away|standing collar|bow tie,,"Weinberg, Abraham Salomon",417982,original photograph,False,1061,1720,1.825,D:\thesis\images\10756666.jpg,1,2
156079,10756667,127150,,,huidig,,1860,1920,Portrait of Derkje van Heteren (1856- ),Portret van Derkje van Heteren (1856- ),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the left|body frontal|looking away|woman's portrait,,"Kouw, Pieter Hendrik",417910,original photograph,False,1035,1664,1.722,D:\thesis\images\10756667.jpg,1,2
156080,10756443,127151,,,huidig,,1860,1920,Portrait of A. Schotborgh,Portret van A. Schotborgh,carte-de-visite,undetermined,,,curtain/drapery background|full-length portrait|head to the right|body facing right|sitting|facing front|man's portrait,achterschrift,Anoniem,1984,original photograph,False,989,1736,1.717,D:\thesis\images\10756443.jpg,1,2
156081,10756444,127151,,,huidig,,1860,1920,Portrait of A. Schotborgh,Portret van A. Schotborgh,carte-de-visite,undetermined,,,bust-length portrait|head frontal|body frontal|facing front|man's portrait,achterschrift,Anoniem,1984,original photograph,False,983,1706,1.677,D:\thesis\images\10756444.jpg,1,2
156082,10756445,109245,,Griffier kantongerecht te UtrechtLid van de Provinciale Staten van Utrecht,huidig,,1860,1899,Portrait of Johannes Marius Schout Velthuys (1851-1920),Portret van Johannes Marius Schout Velthuys (1851-1920),carte-de-visite,undetermined,,,bust-length portrait|head to the left|body facing left|looking away|man's portrait,achterschrift,"Mulder, George Lodewijk",391025,original photograph,False,1029,1638,1.686,D:\thesis\images\10756445.jpg,1,2
156084,10756669,127146,,,huidig,,1860,1920,Portrait of Maria Johanna Singendonck (1835-1907),Portret van Maria Johanna Singendonck (1835-1907),carte-de-visite,undetermined,,,bust-length portrait|head to the left|body frontal|looking away|woman's portrait,,"Sohl, Emile",417755,original photograph,False,1061,1687,1.79,D:\thesis\images\10756669.jpg,1,3
156085,10756668,127141,,,huidig,,1860,1920,Portrait of Anna Maria Singendonck (1853-1928),Portret van Anna Maria Singendonck (1853-1928),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the left|body frontal|looking away|woman's portrait,,"Zimmermans, Adolphe",417368,original photograph,False,1068,1689,1.804,D:\thesis\images\10756668.jpg,1,5
156087,10756672,127154,,,huidig,,1860,1874,Portrait of Jan Jacob Gustaaf Adolf Sirtema van Grovestins (1867-1928),Portret van Jan Jacob Gustaaf Adolf Sirtema van Grovestins (1867-1928),carte-de-visite,figure,vignetting,,head (representation)|head frontal|facing front|boy's portrait,,"Grammann, Wilhelm J.",417390,original photograph,False,1017,1632,1.66,D:\thesis\images\10756672.jpg,1,2
156089,10756674,127154,,,huidig,1874-1878,1874,1878,Portrait of Jan Jacob Gustaaf Adolf Sirtema van Grovestins (1867-1928),Portret van Jan Jacob Gustaaf Adolf Sirtema van Grovestins (1867-1928),carte-de-visite,undetermined,,,bust-length portrait|head frontal|body frontal|facing front|boy's portrait,,"Lavieter &amp; Co, De",392697,original photograph,False,1048,1659,1.739,D:\thesis\images\10756674.jpg,1,2
156099,10388604,120616,,,huidig,1845 gedateerd,1845,1845,Portrait of Isaac August Melvill van Carnbee (1780-1845),Portret van Isaac August Melvill van Carnbee (1780-1845),print,undetermined,lithography (technique),paper,deathbed portrait|bust-length portrait|head to the left|body facing left|reclining|old man|man's portrait,overlijdensjaar; vererving,"Bernhard, Pieter Gerardus",7509,unknown,False,432,500,0.216,D:\thesis\images\10388604.jpg,1,2
156100,10731782,127164,waarschijnlijk,,huidig,,1700,1724,Portrait of waarschijnlijk Ulbo van Sixma van Andla (1673- ),Portret van waarschijnlijk Ulbo van Sixma van Andla (1673- ),portrait miniature,undetermined,oil paint,copper,in an oval|bust-length portrait|head to the left|body facing right|facing front|man's portrait,,Anoniem,1984,photograph,False,405,501,0.203,D:\thesis\images\10731782.jpg,1,2
156101,9190786,127165,,,huidig,derde kwart 19de eeuw,1850,1874,Portrait of Pieter Melvill van Carnbee (1816-1856),Portret van Pieter Melvill van Carnbee (1816-1856),print,undetermined,lithography (technique),paper,man's portrait|half-length|head to the left|body facing left|facing front|straight hair|officer|Order of the Netherlands Lion,gelijkenis; herkomst; vererving,"Roode, Nicolaas Johannes Wilhelmus de",67983,black-and-white photocopy,False,396,500,0.198,D:\thesis\images\9190786.jpg,1,2
156102,10388682,127165,,,huidig,,1850,1874,Portrait of Pieter Melvill van Carnbee (1816-1856),Portret van Pieter Melvill van Carnbee (1816-1856),print,undetermined,lithography (technique),paper,knee-length portrait|head to the right|body facing right|sitting|facing front|man's portrait,gelijkenis; vererving,Anoniem,1984,unknown,False,479,500,0.239,D:\thesis\images\10388682.jpg,1,2
156104,9202908,110373,,,huidig,1640 gedateerd,1640,1640,Portrait of Maerten Harpertsz. Tromp (1598-1653),Portret van Maerten Harpertsz. Tromp (1598-1653),painting,undetermined,oil paint,panel (wood),man's portrait|knightly insignia|half-length|head to the right|body facing right|facing front|flat lace collar|necklace|medal (coin type)|portrait (depicted),geboortejaar; gelijkenis,"Mierevelt, Michiel van",56017,color reproduction,True,434,501,0.217,D:\thesis\images\9202908.jpg,1,26
156108,9291518,115410,,,huidig,,1620,1625,Portrait of Albert van Nassau-Dillenburg (1596-1626),Portret van Albert van Nassau-Dillenburg (1596-1626),painting,undetermined,oil paint,canvas,man's portrait|bust-length portrait|head to the right|body facing right|facing front|goatee|floppy ruff|sash (costume accessory)|armor,gelijkenis,"Ravesteyn, Jan van",65765,color reproduction,True,394,500,0.197,D:\thesis\images\9291518.jpg,1,3
156109,9202884,106084,,,huidig,1632 gedateerd,1632,1632,Portrait of  Volckera Knobbert (1554-1634),Portret van Volckera Knobbert (1554-1634),painting,portrait,oil paint,panel (wood),woman's portrait|old woman|half-length|head to the left|body facing left|facing front|vlieger (clothing)|ruff|lace cap,,"Mierevelt, Michiel van",56017,black and white photograph,False,411,500,0.205,D:\thesis\images\9202884.jpg,1,12
156112,10756681,127174,,,huidig,,1860,1920,Portrait of Johan Diederik Six (1847-1928),Portret van Johan Diederik Six (1847-1928),carte-de-visite,undetermined,vignetting,,military personnel|bust-length portrait|head to the right|body frontal|looking away|man's portrait,,"Korfmacher, Gerard Karel Martin Hubert",417437,original photograph,False,1029,1631,1.678,D:\thesis\images\10756681.jpg,1,2
156113,10756682,127174,,,huidig,,1860,1920,Portrait of Johan Diederik Six (1847-1928),Portret van Johan Diederik Six (1847-1928),carte-de-visite,undetermined,,,full-length portrait|head to the left|body facing left|sitting|facing front|man's portrait,,Anoniem,1984,original photograph,False,1019,1620,1.651,D:\thesis\images\10756682.jpg,1,2
156121,10756690,127182,,,huidig,,1860,1920,Portrait of Christoffel Nicolaas Sipman (1853- ),Portret van Christoffel Nicolaas Sipman (1853- ),carte-de-visite,undetermined,,,bust-length portrait|head frontal|body frontal|facing front|man's portrait,,"Kouw, Pieter Hendrik",417910,original photograph,False,1039,1666,1.731,D:\thesis\images\10756690.jpg,1,2
156123,10756693,127185,,,huidig,,1860,1920,Portrait of Anna Slegtkamp (1898- ),Portret van Anna Slegtkamp (1898- ),carte-de-visite,undetermined,,,full-length portrait|head to the right|body facing right|sitting|facing front|girl|girl's portrait,,"Bongenaar, Willem",417985,original photograph,False,1036,1451,1.503,D:\thesis\images\10756693.jpg,1,2
156127,10756697,127185,,,huidig,1899 gedateerd,1899,1899,Portrait of Anna Slegtkamp (1898- ),Portret van Anna Slegtkamp (1898- ),carte-de-visite,undetermined,,,full-length portrait|head to the right|body facing right|sitting|facing front|girl|girl's portrait,,"Bongenaar, Willem",417985,original photograph,False,1075,1686,1.812,D:\thesis\images\10756697.jpg,1,2
156131,10756701,127195,,,huidig,,1883,1898,Portrait of Henriette Maria van der Sleyden (1829-1913),Portret van Henriette Maria van der Sleyden (1829-1913),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the right|body frontal|looking away|woman's portrait,,"Kameke, Richard",390694,original photograph,False,1064,1685,1.793,D:\thesis\images\10756701.jpg,1,2
156132,10756702,127195,,,huidig,,1860,1920,Portrait of Henriette Maria van der Sleyden (1829-1913),Portret van Henriette Maria van der Sleyden (1829-1913),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the left|body facing left|looking away|woman's portrait,,"Bosse, M.",417540,original photograph,False,1030,1636,1.685,D:\thesis\images\10756702.jpg,1,2
156134,10756705,127197,,,huidig,,1860,1920,Portrait of Julie Laurence van der Sleyden (1827-1892),Portret van Julie Laurence van der Sleyden (1827-1892),carte-de-visite,undetermined,,,full-length portrait|head to the left|body facing left|standing (position)|looking away|woman's portrait,,"Poorten, A.J. van",417541,original photograph,False,1020,1626,1.659,D:\thesis\images\10756705.jpg,1,2
156137,10756708,127201,,,huidig,,1886,1898,Portrait of E. Sliedrecht,Portret van E. Sliedrecht,carte-de-visite,undetermined,,,bust-length portrait|head to the left|body frontal|facing front|man's portrait,,"Wessels, Michiel David",417963,original photograph,False,992,1558,1.546,D:\thesis\images\10756708.jpg,1,2
156138,10756709,127201,,,huidig,,1860,1899,Portrait of E. Sliedrecht,Portret van E. Sliedrecht,carte-de-visite,undetermined,,,bust-length portrait|head to the right|body facing right|looking away|man's portrait,,"Harting, Frederik",417411,original photograph,False,1032,1560,1.61,D:\thesis\images\10756709.jpg,1,2
156141,10756711,121049,,,huidig,,1860,1875,Portrait of Hieronyma Maria Antonia Fortunata van Slingelandt (1814-1875),Portret van Hieronyma Maria Antonia Fortunata van Slingelandt (1814-1875),carte-de-visite,undetermined,,,full-length portrait|head to the right|body facing right|sitting|looking away|woman's portrait,,"Wegner, Louis",338468,original photograph,False,1019,1718,1.751,D:\thesis\images\10756711.jpg,1,2
156144,10756714,127145,,,huidig,,1860,1899,Portrait of Johan Anne Singendonck (1809-1893),Portret van Johan Anne Singendonck (1809-1893),carte-de-visite,undetermined,vignetting,,three-quarter length figure|head to the right|body facing right|sitting|facing front|man's portrait,,"Verveer, Maurits",80730,original photograph,False,1043,1721,1.795,D:\thesis\images\10756714.jpg,1,3
156148,10756718,127212,,,huidig,,1869,1890,Portrait of Diderica Jacoba van Fridagh (1831-1901),Portret van Diderica Jacoba van Fridagh (1831-1901),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the right|body facing right|looking away|woman's portrait,,"Deutmann, Franz Wilhelm Heinrich",417392,original photograph,False,1054,1652,1.741,D:\thesis\images\10756718.jpg,1,2
156149,10756719,119537,,,huidig,1873,1873,1873,Portrait of Diederik Gregorius Sloet van Zwanenburg (1847-1874),Portret van Diederik Gregorius Sloet van Zwanenburg (1847-1874),carte-de-visite,undetermined,,,bust-length portrait|head to the right|body facing right|looking away|man's portrait,,"Westerborg, Carel Eduard",234044,original photograph,False,996,1665,1.658,D:\thesis\images\10756719.jpg,1,2
156155,10756725,127218,,,huidig,,1860,1875,Portrait of Ludolph Anne Jan Wilt Sloet van de Beele (1806-1890),Portret van Ludolph Anne Jan Wilt Sloet van de Beele (1806-1890),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the left|body frontal|looking away|man's portrait,,"Severin, Robert",387909,original photograph,False,1015,1668,1.693,D:\thesis\images\10756725.jpg,1,4
156156,10756726,127220,,,huidig,,1860,1920,Portrait of Ludolf Edzard Alfred Sloet tot Oldhuis (1840-1907),Portret van Ludolf Edzard Alfred Sloet tot Oldhuis (1840-1907),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the left|body frontal|looking away|man's portrait,,"Reinhardt, Carl August Ludwig",417988,original photograph,False,1027,1633,1.677,D:\thesis\images\10756726.jpg,1,2
156159,10756729,127220,,,huidig,1864 gedateerd,1864,1864,Portrait of Ludolf Edzard Alfred Sloet tot Oldhuis (1840-1907),Portret van Ludolf Edzard Alfred Sloet tot Oldhuis (1840-1907),carte-de-visite,undetermined,,,bust-length portrait|head frontal|body frontal|facing front|man's portrait,,Anoniem,1984,original photograph,False,1012,1667,1.687,D:\thesis\images\10756729.jpg,1,2
156160,10756730,127212,,,huidig,1863 gedateerd,1863,1863,Portrait of Diderica Jacoba van Fridagh (1831-1901),Portret van Diderica Jacoba van Fridagh (1831-1901),carte-de-visite,undetermined,,,knee-length portrait|head to the right|body facing right|sitting|facing front|woman's portrait,,"Pronk, Henri",382516,original photograph,False,982,1685,1.655,D:\thesis\images\10756730.jpg,1,2
156161,10756731,127223,,,huidig,,1860,1920,Portrait of Willem Hendrik Sloet tot Oldhuis (1850-1902),Portret van Willem Hendrik Sloet tot Oldhuis (1850-1902),carte-de-visite,undetermined,vignetting,,bust-length portrait|head frontal|body frontal|facing front|man's portrait,,"Egenberger, Johannes Hinderikus",25647,original photograph,False,1008,1619,1.632,D:\thesis\images\10756731.jpg,1,2
156162,10756732,127224,,,huidig,,1860,1875,Portrait of Isabelle Antoinette Sloet van Toutenburg (1823-1872),Portret van Isabelle Antoinette Sloet van Toutenburg (1823-1872),carte-de-visite,undetermined,,,full-length portrait|head to the left|body facing left|standing (position)|looking away|woman's portrait,,"Severin, Robert",387909,original photograph,False,1052,1618,1.702,D:\thesis\images\10756732.jpg,1,3
156166,10756736,127229,,,huidig,,1860,1920,Portrait of Catharina Elisabeth Sloet van Zwanenburg (1844-1916),Portret van Catharina Elisabeth Sloet van Zwanenburg (1844-1916),carte-de-visite,undetermined,,,bust-length portrait|head to the right|body facing right|facing front|woman's portrait,,Anoniem,1984,original photograph,False,1019,1676,1.708,D:\thesis\images\10756736.jpg,1,2
156167,10756737,127229,,,huidig,,1860,1920,Portrait of Catharina Elisabeth Sloet van Zwanenburg (1844-1916),Portret van Catharina Elisabeth Sloet van Zwanenburg (1844-1916),carte-de-visite,undetermined,,,bust-length portrait|head to the left|body facing right|looking away|woman's portrait,,"Bosse, M.",417540,original photograph,False,1010,1715,1.732,D:\thesis\images\10756737.jpg,1,2
156168,10756738,127231,,,huidig,,1880,1899,Portrait of miss. Sophie Adrienne Sloet van Oldruitenborgh (1860-1941),Portret van ms. Sophie Adrienne Sloet van Oldruitenborgh (1860-1941),carte-de-visite,undetermined,,,woman's portrait|half-length|head to the right|body frontal|looking away|hat with feathers|fringe,,"Rheinstaedter, Emil",417990,original photograph,False,1056,1702,1.797,D:\thesis\images\10756738.jpg,1,3
156169,10756739,127231,,,huidig,,1860,1920,Portrait of Sophie Adrienne Sloet van Oldruitenborgh (1860-1941),Portret van Sophie Adrienne Sloet van Oldruitenborgh (1860-1941),carte-de-visite,undetermined,,,half-length|head to the right|body frontal|looking away|woman's portrait,,"Rheinstaedter, Emil",417990,original photograph,False,1049,1698,1.781,D:\thesis\images\10756739.jpg,1,3
156170,10756740,127223,,,huidig,,1869,1890,Portrait of Willem Hendrik Sloet tot Oldhuis (1850-1902),Portret van Willem Hendrik Sloet tot Oldhuis (1850-1902),carte-de-visite,undetermined,,,knee-length portrait|head frontal|body frontal|sitting|looking away|man's portrait,,"Deutmann, Franz Wilhelm Heinrich",417392,original photograph,False,1001,1643,1.645,D:\thesis\images\10756740.jpg,1,2
156177,10731780,110898,,,huidig,,1700,1724,Portrait of His Maria van Burmania (1693-1757),Portret van His Maria van Burmania (1693-1757),painting,undetermined,oil paint,canvas,in an oval|half-length|head to the right|body facing right|facing front|woman's portrait,,Anoniem,1984,photograph,False,481,500,0.24,D:\thesis\images\10731780.jpg,1,2
156178,9291330,113082,mogelijk,,huidig,,1650,1674,Portrait of mogelijk Hendrik Casimir II van Nassau -Dietz (1657-1696),Portret van mogelijk Hendrik Casimir II van Nassau -Dietz (1657-1696),painting,undetermined,oil paint,canvas,three-quarter length figure|head to the left|body facing left|standing (position)|facing front|young man|man's portrait,,Anoniem,1984,black and white photograph,False,388,501,0.194,D:\thesis\images\9291330.jpg,1,25
156200,10756758,103598,,,huidig,ca. 1867-1868,1867,1868,Portrait of de Smidt,Portret van de Smidt,carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the left|body frontal|looking away|man's portrait,,Pronk-Anten,419592,original photograph,False,1024,1632,1.671,D:\thesis\images\10756758.jpg,1,2
156203,10756761,127260,,,huidig,,1860,1920,Portrait of Anna Agneta Smissaert (1806-1865),Portret van Anna Agneta Smissaert (1806-1865),carte-de-visite,undetermined,,,half-length|head frontal|body frontal|facing front|woman's portrait,,Anoniem,1984,original photograph,False,1093,1685,1.842,D:\thesis\images\10756761.jpg,1,2
156205,10756763,127262,,,huidig,,1860,1920,Portrait of Hendrik Balthazar Smissaert (1850-1930),Portret van Hendrik Balthazar Smissaert (1850-1930),carte-de-visite,undetermined,,,bust-length portrait|head to the left|body facing left|facing front|man's portrait,,Anoniem,1984,original photograph,False,1038,1693,1.757,D:\thesis\images\10756763.jpg,1,2
156206,10756764,127263,,,huidig,,1860,1899,Portrait of H. Smissaert,Portret van H. Smissaert,carte-de-visite,undetermined,,,three-quarter length figure|head to the left|body facing left|sitting|looking away|man's portrait,,"Verveer, Maurits",80730,original photograph,False,1039,1695,1.761,D:\thesis\images\10756764.jpg,1,2
156207,10756765,127263,,,huidig,,1860,1899,Portrait of H. Smissaert,Portret van H. Smissaert,carte-de-visite,undetermined,,,three-quarter length figure|head to the left|body facing left|sitting|facing front|young man|man's portrait,,"Verveer, Maurits",80730,original photograph,False,1040,1696,1.764,D:\thesis\images\10756765.jpg,1,2
156208,10756766,127262,,,huidig,,1860,1920,Portrait of Hendrik Balthazar Smissaert (1850-1930),Portret van Hendrik Balthazar Smissaert (1850-1930),carte-de-visite,undetermined,,,dog|full-length portrait|head to the right|body facing right|sitting|facing front|man's portrait,,"Serré, Lodewijk Hendrikus",403760,original photograph,False,1075,1685,1.811,D:\thesis\images\10756766.jpg,1,2
156213,10756771,127268,,,huidig,,1890,1915,Portrait of Smit,Portret van Smit,carte-de-visite,undetermined,,,full-length portrait|head frontal|body facing left|sitting|looking away|girl|girl's portrait,,"Vermeulen, Cornelis Johannes Lodewicus",240140,original photograph,False,406,640,0.26,D:\thesis\images\10756771.jpg,1,2
156214,10756772,127268,,,huidig,,1890,1915,Portrait of Smit,Portret van Smit,carte-de-visite,undetermined,,,full-length portrait|head frontal|body facing left|sitting|looking away|girl|girl's portrait,,"Vermeulen, Cornelis Johannes Lodewicus",240140,original photograph,False,405,640,0.259,D:\thesis\images\10756772.jpg,1,2
156216,10756774,127270,,,huidig,,1860,1920,Portrait of Adriana Elisabeth Cecilia Smit (1841-1912),Portret van Adriana Elisabeth Cecilia Smit (1841-1912),carte-de-visite,undetermined,,,knee-length portrait|head to the left|body facing left|sitting|looking away|woman's portrait,,"Schuiten, H.PH.J.",417616,original photograph,False,391,640,0.25,D:\thesis\images\10756774.jpg,1,6
156217,10756775,127270,,,huidig,ca. 1879-1884,1879,1884,Portrait of Adriana Elisabeth Cecilia Smit (1841-1912),Portret van Adriana Elisabeth Cecilia Smit (1841-1912),carte-de-visite,undetermined,,,three-quarter length figure|head to the left|body facing left|standing (position)|looking away|woman's portrait,,"Greiner, Albert",234248,original photograph,False,408,640,0.261,D:\thesis\images\10756775.jpg,1,6
156218,10756776,127270,,,huidig,ca. 1879-1884,1879,1884,Portrait of Adriana Elisabeth Cecilia Smit (1841-1912),Portret van Adriana Elisabeth Cecilia Smit (1841-1912),carte-de-visite,undetermined,,,half-length|head to the left|body frontal|looking away|woman's portrait,,"Greiner, Albert",234248,original photograph,False,410,640,0.262,D:\thesis\images\10756776.jpg,1,6
156219,10756777,127270,,,huidig,1880-1899,1880,1899,Portrait of Adriana Elisabeth Cecilia Smit (1841-1912),Portret van Adriana Elisabeth Cecilia Smit (1841-1912),carte-de-visite,undetermined,,,bust-length portrait|head frontal|body facing left|facing front|woman's portrait,,"Greiner, Albert",234248,original photograph,False,415,640,0.266,D:\thesis\images\10756777.jpg,1,6
156220,10756778,127270,,,huidig,,1860,1920,Portrait of Adriana Elisabeth Cecilia Smit (1841-1912),Portret van Adriana Elisabeth Cecilia Smit (1841-1912),carte-de-visite,undetermined,vignetting,,bust-length portrait|head to the right|body facing right|facing front|woman's portrait,,"Oppers, Johannes Petrus",369864,original photograph,False,395,640,0.253,D:\thesis\images\10756778.jpg,1,6
156221,10756779,127270,,,huidig,,1860,1920,Portrait of Adriana Elisabeth Cecilia Smit (1841-1912),Portret van Adriana Elisabeth Cecilia Smit (1841-1912),carte-de-visite,undetermined,,,three-quarter length figure|head frontal|body frontal|standing (position)|looking away|woman's portrait,,"Graaff, H.C. de",417681,original photograph,False,377,640,0.241,D:\thesis\images\10756779.jpg,1,6
156225,10756783,127274,,,huidig,,1860,1920,Portrait of Christiaan Smit,Portret van Christiaan Smit,carte-de-visite,undetermined,,,bust-length portrait|head to the left|body facing left|looking away|man's portrait,,Anoniem,1984,original photograph,False,416,640,0.266,D:\thesis\images\10756783.jpg,1,3
156226,10756784,127274,,,huidig,ca. 1866-1874,1866,1874,Portrait of Christiaan Smit (1809/1810...),Portret van Christiaan Smit (1809/1810...),carte-de-visite,undetermined,,,full-length portrait|head to the left|body facing left|sitting|facing front|man's portrait,,"Donk &amp; Co, H.C.",417690,original photograph,False,382,640,0.244,D:\thesis\images\10756784.jpg,1,3
156227,10756785,127274,,,huidig,,1860,1920,Portrait of Christiaan Smit,Portret van Christiaan Smit,carte-de-visite,undetermined,,,knee-length portrait|head to the left|body facing left|sitting|looking away|man's portrait,,"Schuiten, H.PH.J.",417616,original photograph,False,380,640,0.243,D:\thesis\images\10756785.jpg,1,3
156230,10756788,127277,,,huidig,ca. 1879-1884,1879,1884,Portrait of Geertruida Elisabeth Smit (1851-1917),Portret van Geertruida Elisabeth Smit (1851-1917),carte-de-visite,undetermined,,,three-quarter length figure|head to the left|body facing left|kneeling|looking away|woman's portrait,,"Greiner, Albert",234248,original photograph,False,398,640,0.255,D:\thesis\images\10756788.jpg,1,3
156231,10756789,127277,,,huidig,ca. 1979-1884,1879,1884,Portrait of Geertruida Elisabeth Smit (1851-1917),Portret van Geertruida Elisabeth Smit (1851-1917),carte-de-visite,undetermined,,,knee-length portrait|head to the left|body facing right|sitting|looking away|woman's portrait,,"Greiner, Albert",234248,original photograph,False,386,640,0.247,D:\thesis\images\10756789.jpg,1,3
156232,10756790,127277,,,huidig,ca. 1879-1884,1879,1884,Portrait of Geertruida Elisabeth Smit (1851-1917),Portret van Geertruida Elisabeth Smit (1851-1917),carte-de-visite,undetermined,,,three-quarter length figure|head to the left|body facing left|standing (position)|looking away|woman's portrait,,"Greiner, Albert",234248,original photograph,False,411,640,0.263,D:\thesis\images\10756790.jpg,1,3
